Id,Probability
1,0.05478814204727238
2,0.05056879614338616
3,0.017134614287032064
4,0.09490251748660454
5,0.10470266341366737
6,0.030229255034184076
7,0.04594557051239247
8,0.020811765234552134
9,0.0074393680052448185
10,0.5656219933872716
11,0.015119377907036428
12,0.019495048118022287
13,0.014476107575013837
14,0.056311913190055025
15,0.04329421225023829
16,0.02009848920598068
17,0.027964747927837555
18,0.020703976266451152
19,0.22534586240121587
20,0.06479915159211572
21,0.012004053022401179
22,0.012186270298746832
23,0.007924615583106668
24,0.5184459215510168
25,0.06579118835770524
26,0.016294499621593586
27,0.07156864480786237
28,0.013076572673361346
29,0.05359243593704917
30,0.02324612133352266
31,0.049070830785064745
32,0.013115536193898634
33,0.020476593732713606
34,0.046387023831712046
35,0.2750057889894864
36,0.04378199215783577
37,0.03010109003575335
38,0.0171614428397704
39,0.014357613536120464
40,0.056646162217332485
41,0.3252568498627537
42,0.2764159083192852
43,0.06119759582156638
44,0.01055862549678858
45,0.0600817654532798
46,0.009608393742252627
47,0.008173339154691388
48,0.02213180239496789
49,0.01984225492292733
50,0.03441688628728923
51,0.01856781019208981
52,0.012680856106588933
53,0.01161857701393679
54,0.05283396572301968
55,0.018440075660591963
56,0.06915000846605894
57,0.012650282625535336
58,0.1353192319091628
59,0.09433810431193948
60,0.08479279957466568
61,0.016762156008254085
62,0.010086199669951975
63,0.024835150679500116
64,0.01188725853429706
65,0.020868268687595695
66,0.026603561724639187
67,0.014236922491031314
68,0.12068089584551651
69,0.008895911673136645
70,0.5586215799118296
71,0.017481705878861144
72,0.0780878500396205
73,0.008655886595307376
74,0.229457912991796
75,0.014370710991601669
76,0.026232035382989027
77,0.057564419714209704
78,0.040742025250849696
79,0.02066084287887073
80,0.021515267074564432
81,0.01815139032718396
82,0.011773820802679219
83,0.035732868210093416
84,0.010826757180354791
85,0.02062211635075844
86,0.017714074923929988
87,0.038372702509299056
88,0.01690086634186338
89,0.03178884941376874
90,0.026923758797152784
91,0.03445484538155239
92,0.01611744767589267
93,0.012526762865582885
94,0.016335136415293182
95,0.009546814024496713
96,0.5138966890292276
97,0.030399752996999648
98,0.06893845307400723
99,0.014885552627675522
100,0.018738630982261344
101,0.04672524480383932
102,0.06893481166438034
103,0.010709602337075448
104,0.053927006647451696
105,0.05965694552464676
106,0.028907750193147945
107,0.37281760059495256
